msehi,dimid,isocode
CM,LENGTH,CMT
DM,LENGTH,DMT
FT,LENGTH,FOT
IN,LENGTH,IN
KM,LENGTH,KMT
M,LENGHT,MTR
MI,LENGTH,SMI
MIM,LENGTH,4H
MM,LENGTH,MMT
NAM,LENGTH,C45
YD,LENGTH,YRD
